"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2","Pressure","SkinFriction:0","SkinFriction:1","SkinFriction:2"
-8.53940e-01,-4.73972e-01,2.14608e-01,-2.03443e-02,1.91826e-02,6.52123e-02,-4.24285e+03,2.94774e+01,-4.12905e+01,2.62433e+01
-8.58982e-01,-4.60172e-01,2.24325e-01,-2.16771e-02,2.13140e-02,6.45476e-02,-4.42629e+03,2.94368e+01,-4.14450e+01,2.78292e+01
-8.64149e-01,-4.46346e-01,2.32294e-01,-2.29037e-02,2.32967e-02,6.38595e-02,-4.62458e+03,2.92674e+01,-4.14125e+01,2.94137e+01
-8.69732e-01,-4.31890e-01,2.38718e-01,-2.40610e-02,2.51911e-02,6.31375e-02,-4.85517e+03,2.87956e+01,-4.09585e+01,3.09025e+01
-8.83914e-01,-3.97178e-01,2.46818e-01,-2.63077e-02,2.89624e-02,6.15059e-02,-5.52345e+03,2.63104e+01,-3.79438e+01,3.31913e+01
-8.76120e-01,-4.15951e-01,2.43637e-01,-2.51858e-02,2.70598e-02,6.23620e-02,-5.14142e+03,2.78853e+01,-3.99023e+01,3.22183e+01
-9.20465e-01,-3.10141e-01,2.37789e-01,-2.93013e-02,3.44495e-02,5.86112e-02,-7.51995e+03,2.18866e+01,-3.80421e+01,3.54514e+01
-9.06460e-01,-3.44222e-01,2.44620e-01,-2.84998e-02,3.28818e-02,5.95186e-02,-6.80893e+03,2.19105e+01,-3.39378e+01,3.34699e+01
-8.93936e-01,-3.73638e-01,2.47509e-01,-2.74334e-02,3.09297e-02,6.05484e-02,-6.09256e+03,2.39968e+01,-3.52261e+01,3.34573e+01
-9.04153e-01,-3.49618e-01,2.45175e-01,-2.83046e-02,3.25265e-02,5.97102e-02,-6.68001e+03,2.22850e+01,-3.41534e+01,3.34629e+01
